gemeenteId;provincieId;taalCodeProvincieNaam;provincieNaam
1;1;nl;Antwerpen
1;1;fr;Anvers
2;1;nl;Antwerpen
2;1;fr;Anvers
3;1;nl;Antwerpen
3;1;fr;Anvers
4;1;nl;Antwerpen
4;1;fr;Anvers
5;1;nl;Antwerpen
5;1;fr;Anvers
6;1;nl;Antwerpen
6;1;fr;Anvers
7;1;nl;Antwerpen
7;1;fr;Anvers
8;1;nl;Antwerpen
8;1;fr;Anvers
9;1;nl;Antwerpen
9;1;fr;Anvers
10;1;nl;Antwerpen
10;1;fr;Anvers
11;1;nl;Antwerpen
11;1;fr;Anvers
12;1;nl;Antwerpen
12;1;fr;Anvers
13;1;nl;Antwerpen
13;1;fr;Anvers
14;1;nl;Antwerpen
14;1;fr;Anvers
15;1;nl;Antwerpen
15;1;fr;Anvers
16;1;nl;Antwerpen
16;1;fr;Anvers
17;1;nl;Antwerpen
17;1;fr;Anvers
18;1;nl;Antwerpen
18;1;fr;Anvers
19;1;nl;Antwerpen
19;1;fr;Anvers
20;1;nl;Antwerpen
20;1;fr;Anvers
21;1;nl;Antwerpen
21;1;fr;Anvers
22;1;nl;Antwerpen
22;1;fr;Anvers
23;1;nl;Antwerpen
23;1;fr;Anvers
24;1;nl;Antwerpen
24;1;fr;Anvers
25;1;nl;Antwerpen
25;1;fr;Anvers
26;1;nl;Antwerpen
26;1;fr;Anvers
27;1;nl;Antwerpen
27;1;fr;Anvers
28;1;nl;Antwerpen
28;1;fr;Anvers
29;1;nl;Antwerpen
29;1;fr;Anvers
30;1;nl;Antwerpen
30;1;fr;Anvers
31;1;nl;Antwerpen
31;1;fr;Anvers
32;1;nl;Antwerpen
32;1;fr;Anvers
33;1;nl;Antwerpen
33;1;fr;Anvers
34;1;nl;Antwerpen
34;1;fr;Anvers
35;1;nl;Antwerpen
35;1;fr;Anvers
36;1;nl;Antwerpen
36;1;fr;Anvers
37;1;nl;Antwerpen
37;1;fr;Anvers
38;1;nl;Antwerpen
38;1;fr;Anvers
39;1;nl;Antwerpen
39;1;fr;Anvers
40;1;nl;Antwerpen
40;1;fr;Anvers
41;1;nl;Antwerpen
41;1;fr;Anvers
42;1;nl;Antwerpen
42;1;fr;Anvers
43;1;nl;Antwerpen
43;1;fr;Anvers
44;1;nl;Antwerpen
44;1;fr;Anvers
45;1;nl;Antwerpen
45;1;fr;Anvers
46;1;nl;Antwerpen
46;1;fr;Anvers
47;1;nl;Antwerpen
47;1;fr;Anvers
48;1;nl;Antwerpen
48;1;fr;Anvers
49;1;nl;Antwerpen
49;1;fr;Anvers
50;1;nl;Antwerpen
50;1;fr;Anvers
51;1;nl;Antwerpen
51;1;fr;Anvers
52;1;nl;Antwerpen
52;1;fr;Anvers
53;1;nl;Antwerpen
53;1;fr;Anvers
